item_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
"10"" Soup Plate",3.3561795,-0.9123314,0.40937704,1.4804904,1.0764166,-0.35803288,0.7845535,-0.17998308,-0.3249992,-0.09668119,-0.06397123,2.3773403,-0.16068546,0.30262586,-0.96624607,0.2657958,0.49988306,0.17579798,-0.1618098,-0.15644585,1.1610038,0.20642862,0.41656315,0.12703142,0.18120076,-0.6303301,0.0797495,0.020907033,-0.11443749,0.0034077023,-0.1077182,0.5126061,-0.2610474,0.16518979,-0.59908354,0.17910054,0.4078227,0.07456902,0.34181893,0.03605005,0.13825786,-0.8987128,-0.014482259,0.02499345,0.83439654,0.11207464,-0.44459912,0.32873854,-0.39610627,0.046744015,-0.38243878,0.827012,0.057744145,0.041564856,-0.5116609,-0.37915522,-0.0115619125,-0.37172875,-0.14355746,-0.10474175,0.38979745,0.5135929,0.35954145,0.43605977
"10"" Soup Plate-919111",1.9933434,-1.3648922,-0.37993193,-0.104472496,-0.11592808,0.6533988,-0.15339121,-0.17138477,-0.3507238,-0.23127864,-0.1506864,0.5063884,-0.16960862,-0.027767671,0.15583467,-0.31659,0.7396419,-0.34549117,-0.13405605,0.1760543,0.77006644,-0.009313037,0.26130393,0.07219651,-0.099905044,0.1875744,0.22766513,-0.35504,0.1140987,-0.51550156,0.07898648,0.50996715,-0.7549179,0.0828796,-0.10430594,-0.30439484,-0.41026926,-0.12765257,0.9731158,0.6053444,0.43403992,-0.060569946,-0.008439154,-0.21638174,0.4041793,-0.06386039,-0.29319385,-0.14636011,0.013993076,-0.20352256,-0.319283,0.31246898,0.023186527,0.42345738,-0.30410108,-0.28141883,0.040401783,-0.13306561,-0.15294175,-0.05928605,-0.014771059,0.2517478,-0.16689785,-0.2131298
"10"" Soup Plate-92435",3.1410496,0.40200636,-1.0831099,1.8962594,-0.0125044845,0.38132086,1.2745733,-1.0168488,-0.21607138,0.045749266,0.22402886,0.69470435,1.6175902,0.20624927,-0.35883507,-0.5103694,-0.13245678,0.31369862,-0.4656801,0.8166964,0.047322854,0.16852283,-0.6951449,-0.15138173,0.20921749,-0.009372773,0.05313557,-0.117624834,0.8900765,0.13691965,0.14443506,0.3063179,0.11778487,0.19992605,0.99981916,-0.05200895,-0.13353609,0.71283823,-0.53539777,-0.105644315,-0.117140606,2.0894332,-0.20797808,0.32437193,0.42257458,0.27412948,-0.4604017,-0.027466,-0.030925147,0.36810324,-0.33478975,-0.5185862,-0.18044214,-1.0353205,-0.23274408,-0.047727436,0.23980813,0.6462292,0.18823768,-0.35797778,0.5260633,-0.65298307,-1.6196222,0.88727003
"10"" Star Bowl Snowdrop",2.5213103,-1.1091,0.13369656,0.4213786,-0.74537754,0.27389485,0.64843744,0.23768388,-0.76028097,0.084412575,0.32977977,-0.38494503,0.52172875,-0.46644896,-0.16312455,-0.058795057,-0.1657567,0.037499912,-0.27152953,0.099169135,0.34802407,-0.2655104,-0.11071249,-0.79690206,0.056899205,0.34980756,-0.3473221,-0.009360162,0.18253158,-0.1666562,0.6085847,0.61112523,-0.66674155,0.6579663,0.049689543,-0.2869026,-0.21938999,-0.028016094,-0.056553982,0.24474798,-0.0790473,0.751179,-0.051967405,-0.06287768,0.33081532,-0.355335,-0.1959726,-0.13682163,-0.077598006,0.71990955,-0.53020406,0.15767354,0.05205071,0.18012668,0.14046888,-0.4286191,0.63674325,0.5585461,-0.3378637,0.0018644346,0.7925403,0.03420957,-0.75942814,0.32342213
"10"" Star Soup Plate",2.7306423,-0.3260306,-1.3589754,0.64613295,-0.51175696,-0.68566775,-0.03456885,-0.32954836,-0.9745095,0.043058835,0.17802444,0.5636925,-0.55433196,0.38783735,-0.30977738,-0.46914026,0.024951069,-0.84503686,0.46244106,0.026844416,0.5996523,-0.6124448,0.122532055,-0.5077407,0.011556633,0.5380466,-1.6810998,-0.6733357,-0.8248604,-0.03624876,-0.2153123,0.112913616,0.22982484,0.5063957,-0.28472924,0.12060256,0.40578493,0.52911717,0.04014989,1.0444814,0.3208911,-0.31259134,-1.0172913,-0.4363826,0.6052874,-0.0039055794,0.48813707,-0.16367319,0.1267075,0.17248099,0.118410885,0.10503409,-0.57415456,0.32192722,-0.5161026,-0.1082922,0.01715763,0.4990477,-0.52609575,-0.68478715,0.7682182,-0.05133734,-0.2221399,-0.19308236
"10.3"" Crazy Coup Plate -859840",0.55340785,-0.26880577,-0.24210815,0.4708486,-0.13805254,0.0049706814,0.26564613,-0.19281021,-0.10226703,0.11231349,0.16560836,0.08909982,0.6063169,-0.004963967,-0.42915773,0.032142498,-0.008432438,-0.0012182572,0.010069615,-0.09113229,-0.29324865,0.1560783,0.23067406,-0.29222032,-0.038357243,0.11450695,0.25362512,-0.066223815,-0.0067969877,0.057600472,-0.10039474,-0.036369912,-0.08068046,-0.15586902,-0.09803383,-0.027194396,-0.030252062,-0.00047638547,-0.061283164,0.12838207,-0.43564925,0.23083885,-0.24234454,-0.070245855,0.29477158,-0.008169102,-0.01447577,0.065375365,0.004665872,0.075284295,0.15543447,0.062008698,-0.049658068,-0.062074605,-0.007606759,0.08850925,-0.29497775,-0.21826716,0.20110796,-0.07849122,0.2420817,0.2170912,-0.24410494,0.13719606
100 Plus Org.Isotonic Drink-325ml (Can),0.4887352,-0.15172313,0.2891375,0.101204894,0.099975504,-0.23472342,-0.034461137,-0.1551601,-0.20062134,-0.07557404,-0.5467714,-0.3601142,0.03846677,-0.062088612,-0.08379587,0.07698103,-0.1092752,0.08802041,-0.14201851,0.08136062,0.26344174,-0.09973624,-0.29900753,-0.24452443,-0.32898247,-0.26522815,-0.106528014,-0.15901653,-0.13292108,0.031317335,0.1214874,0.23223282,-0.28190112,-0.08863976,-0.15714252,-0.03801268,-0.24828845,-0.09804365,-0.07134837,-0.10512435,-0.05267552,0.052345127,-0.17110105,0.022914795,0.016801499,-0.0447135,0.085637376,-0.035387244,0.012337993,0.09644347,0.12493241,-0.0034420954,0.16807957,0.23111059,0.47291693,0.10104122,0.051479813,0.07186327,0.012666762,0.17218588,0.09632293,-0.25377774,0.19828552,-0.15170793
"11"" Classic Plate",0.88507,-0.6770143,-0.09834249,0.3308007,-0.50983024,0.13670021,0.42649147,-0.13144723,0.08390567,0.012870082,0.17991461,-0.15685865,0.5352969,0.050986167,-0.086435676,-0.024392648,0.14096972,-0.042710505,-0.052863516,0.092694394,0.33091217,0.029649232,-0.21615098,0.032818012,-0.014394178,0.013432631,0.05996267,0.031708017,0.25566757,-0.025246505,-0.26618925,0.16789588,-0.09376176,0.037124164,-0.16395366,-0.1263153,-0.22593465,0.04559326,0.2442993,-0.024749577,0.11377514,0.2301638,0.2647988,-0.3132036,0.51501894,0.06354659,-0.57493955,-0.18970609,0.25837457,0.4332957,-0.04544676,-0.16594632,-0.20294367,0.18823297,-0.258804,0.2722648,0.059462767,0.37125686,-0.31594944,0.10506994,0.66991776,0.24227329,-0.018401593,0.21183278
"11"" Crazy Plate-Snowdrop",1.425046,-0.89059085,-0.8149125,0.486068,-0.46226683,0.51962143,0.31449935,-0.018623792,-0.17829858,0.15201005,0.17175809,0.11517157,0.85382,-0.09158996,-0.24142401,0.15788974,-0.22461864,0.085302755,-0.06141211,-0.019008445,0.47192237,-0.007878799,0.51991296,0.26020595,-0.06120408,-0.08300195,0.56091374,0.05882062,-0.15279269,-0.14662978,-0.11064888,0.002441967,0.07634833,0.13491257,-0.13826235,-0.23838226,-0.06350112,0.008290564,0.29504225,-0.15526272,-0.037647773,0.5770064,0.024027856,-0.07050662,0.17206673,-0.016562894,0.08703781,-0.0198087,0.14784889,0.3127159,0.008138507,0.08132676,-0.5059287,0.074882396,-0.4380899,-0.30441165,0.25391984,0.20292422,-0.026606552,0.26506078,0.7250525,0.53021246,-0.21181518,0.3791407
"12"" Oval Dish",1.5008631,-0.99697864,-0.11216953,-0.19893539,-0.4468774,0.34646007,0.21940714,-0.12774493,-0.2845514,-0.25695986,0.24471425,-0.509058,-0.46183944,0.70559716,-0.40854666,-0.26290986,0.57122576,-0.6127821,-0.20762858,0.056026157,0.15315819,-0.0050301193,0.49018365,0.2542898,-0.22474316,0.08331712,-0.23360547,-0.020434815,-0.17095284,0.27366218,-0.005608471,-0.017271573,-0.061761424,-0.34930637,-0.0116513325,0.097072266,0.09239978,-0.1887119,0.024167253,0.07850053,-0.11937738,0.027945533,-0.51972455,0.20198311,-0.15557857,0.06375372,0.023784969,0.22970498,-0.13643874,0.2801188,0.034232616,0.15462136,-0.43638968,-0.01580373,0.14743589,0.12757328,-0.44305938,-0.31479678,0.25796747,0.2554118,-0.190916,-0.19148837,0.0812793,-0.08645572
